,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FY,MatchWinner,halftimeWinner,FT_Point,FT_Winner,FT_Draw,FT_Loss,HT_Winner,HT_Draw,HT_Loss,Target_Home%,Target_Away%,Manager,Home_Win,Away_Win,Home_Loss,Away_Loss,Home_Draw,Away_Draw,Diff_Score
2838,2016-12-27,Liverpool,Stoke,4,1,H,2,1,H,M Oliver,20,6,6,2,9,6,8,2,0,1,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,30.0,33.33,Jürgen Klopp,1,0,0,0,0,0,3
2844,2016-12-31,Liverpool,Man City,1,0,H,1,0,H,C Pawson,5,9,1,2,12,12,4,6,2,1,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,20.0,22.22,Jürgen Klopp,1,0,0,0,0,0,1
2853,2017-02-01,Sunderland,Liverpool,2,2,D,1,1,D,A Taylor,10,21,5,15,10,10,2,5,2,3,0,0,FY1617,draw,draw,1,0,1,0,0,1,1,50.0,71.43,Jürgen Klopp,0,0,0,0,0,1,0
2869,2017-01-15,Man United,Liverpool,1,1,D,0,1,A,M Oliver,9,13,3,4,17,13,5,7,1,3,0,0,FY1617,draw,Liverpool,1,0,1,0,1,0,0,33.33,30.77,Jürgen Klopp,0,0,0,0,0,1,0
2872,2017-01-21,Liverpool,Swansea,2,3,A,0,0,D,K Friend,16,6,5,3,7,7,6,3,1,1,0,0,FY1617,Swansea,draw,0,0,0,1,0,1,1,31.25,50.0,Jürgen Klopp,0,0,1,0,0,0,-1
2883,2017-01-31,Liverpool,Chelsea,1,1,D,0,1,A,M Clattenburg,7,8,3,2,13,8,3,3,2,1,0,0,FY1617,draw,Chelsea,1,0,1,0,0,0,1,42.86,25.0,Jürgen Klopp,0,0,0,0,1,0,0
2893,2017-04-02,Hull,Liverpool,2,0,H,1,0,H,L Mason,7,22,4,5,9,12,1,15,2,1,0,0,FY1617,Hull,Hull,0,0,0,1,0,0,1,57.14,22.73,Jürgen Klopp,0,0,0,1,0,0,-2
2901,2017-11-02,Liverpool,Tottenham,2,0,H,2,0,H,A Taylor,17,7,9,2,14,14,10,3,3,4,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,52.94,28.57,Jürgen Klopp,1,0,0,0,0,0,2
2917,2017-02-27,Leicester,Liverpool,3,1,H,2,0,H,M Oliver,13,17,7,7,8,5,5,12,0,0,0,0,FY1617,Leicester,Leicester,0,0,0,1,0,0,1,53.85,41.18,Jürgen Klopp,0,0,0,1,0,0,-2
2919,2017-04-03,Liverpool,Arsenal,3,1,H,2,0,H,R Madley,18,7,7,3,8,15,9,3,1,2,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,38.89,42.86,Jürgen Klopp,1,0,0,0,0,0,2
2932,2017-12-03,Liverpool,Burnley,2,1,H,1,1,D,C Pawson,10,11,3,1,12,16,11,1,2,2,0,0,FY1617,Liverpool,draw,3,1,0,0,0,1,1,30.0,9.09,Jürgen Klopp,1,0,0,0,0,0,1
2940,2017-03-19,Man City,Liverpool,1,1,D,0,0,D,M Oliver,13,13,3,4,14,7,9,8,3,3,0,0,FY1617,draw,draw,1,0,1,0,0,1,1,23.08,30.77,Jürgen Klopp,0,0,0,0,0,1,0
2947,2017-01-04,Liverpool,Everton,3,1,H,2,1,H,A Taylor,10,9,6,4,17,10,2,3,1,3,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,60.0,44.44,Jürgen Klopp,1,0,0,0,0,0,2
2960,2017-05-04,Liverpool,Bournemouth,2,2,D,1,1,D,L Mason,20,7,8,2,11,8,7,2,1,1,0,0,FY1617,draw,draw,1,0,1,0,0,1,1,40.0,28.57,Jürgen Klopp,0,0,0,0,1,0,0
2966,2017-08-04,Stoke,Liverpool,1,2,A,1,0,H,M Dean,9,14,4,4,7,11,5,8,0,2,0,0,FY1617,Liverpool,Stoke,3,1,0,0,0,0,1,44.44,28.57,Jürgen Klopp,0,1,0,0,0,0,1
2981,2017-04-16,West Brom,Liverpool,0,1,A,0,1,A,J Moss,7,15,2,2,15,9,4,4,3,1,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,28.57,13.33,Jürgen Klopp,0,1,0,0,0,0,1
2988,2017-04-23,Liverpool,Crystal Palace,1,2,A,1,1,D,A Marriner,14,7,1,3,8,10,4,3,1,2,0,0,FY1617,Crystal Palace,draw,0,0,0,1,0,1,1,7.14,42.86,Jürgen Klopp,0,0,1,0,0,0,-1
3003,2017-01-05,Watford,Liverpool,0,1,A,0,1,A,C Pawson,9,12,2,8,11,9,3,5,3,1,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,22.22,66.67,Jürgen Klopp,0,1,0,0,0,0,1
3012,2017-07-05,Liverpool,Southampton,0,0,D,0,0,D,R Madley,17,4,8,0,9,4,3,6,1,3,0,0,FY1617,draw,draw,1,0,1,0,0,1,1,47.06,0.0,Jürgen Klopp,0,0,0,0,1,0,0
3024,2017-05-14,West Ham,Liverpool,0,4,A,0,1,A,N Swarbrick,10,26,3,11,5,10,4,6,2,0,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,30.0,42.31,Jürgen Klopp,0,1,0,0,0,0,4
3035,2017-05-21,Liverpool,Middlesbrough,3,0,H,1,0,H,M Atkinson,25,9,10,3,13,8,3,3,0,1,0,0,FY1617,Liverpool,Liverpool,3,1,0,0,1,0,0,40.0,33.33,Jürgen Klopp,1,0,0,0,0,0,3
3046,2017-12-08,Watford,Liverpool,3,3,D,2,1,H,A Taylor,9,14,4,5,14,8,3,3,0,3,0,0,FY1718,draw,Watford,1,0,1,0,0,0,1,44.44,35.71,Jürgen Klopp,0,0,0,0,0,1,0
3053,2017-08-19,Liverpool,Crystal Palace,1,0,H,0,0,D,K Friend,23,4,13,1,12,13,4,2,1,3,0,0,FY1718,Liverpool,draw,3,1,0,0,0,1,1,56.52,25.0,Jürgen Klopp,1,0,0,0,0,0,1
3067,2017-08-27,Liverpool,Arsenal,4,0,H,2,0,H,C Pawson,18,8,10,0,6,9,4,3,2,4,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,55.56,0.0,Jürgen Klopp,1,0,0,0,0,0,4
3074,2017-09-09,Man City,Liverpool,5,0,H,2,0,H,J Moss,13,10,7,3,10,9,8,3,2,2,0,1,FY1718,Man City,Man City,0,0,0,1,0,0,1,53.85,30.0,Jürgen Klopp,0,0,0,1,0,0,-5
3083,2017-09-16,Liverpool,Burnley,1,1,D,1,1,D,R East,35,5,9,4,7,9,12,2,1,2,0,0,FY1718,draw,draw,1,0,1,0,0,1,1,25.71,80.0,Jürgen Klopp,0,0,0,0,1,0,0
3092,2017-09-23,Leicester,Liverpool,2,3,A,1,2,A,A Taylor,12,23,7,6,13,14,3,6,3,3,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,58.33,26.09,Jürgen Klopp,0,1,0,0,0,0,1
3109,2017-01-10,Newcastle,Liverpool,1,1,D,1,1,D,C Pawson,8,17,5,2,11,6,1,5,1,1,0,0,FY1718,draw,draw,1,0,1,0,0,1,1,62.5,11.76,Jürgen Klopp,0,0,0,0,0,1,0
3112,2017-10-14,Liverpool,Man United,0,0,D,0,0,D,M Atkinson,19,6,5,1,7,13,7,3,0,2,0,0,FY1718,draw,draw,1,0,1,0,0,1,1,26.32,16.67,Jürgen Klopp,0,0,0,0,1,0,0
3129,2017-10-22,Tottenham,Liverpool,4,1,H,3,1,H,A Marriner,14,12,6,7,2,8,3,5,0,1,0,0,FY1718,Tottenham,Tottenham,0,0,0,1,0,0,1,42.86,58.33,Jürgen Klopp,0,0,0,1,0,0,-3
3133,2017-10-28,Liverpool,Huddersfield,3,0,H,0,0,D,K Friend,16,1,8,0,10,8,9,2,0,1,0,0,FY1718,Liverpool,draw,3,1,0,0,0,1,1,50.0,0.0,Jürgen Klopp,1,0,0,0,0,0,3
3145,2017-04-11,West Ham,Liverpool,1,4,A,0,2,A,N Swarbrick,6,15,1,7,9,13,2,3,3,0,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,16.67,46.67,Jürgen Klopp,0,1,0,0,0,0,3
3155,2017-11-18,Liverpool,Southampton,3,0,H,2,0,H,M Jones,21,5,8,0,15,9,10,2,1,1,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,38.1,0.0,Jürgen Klopp,1,0,0,0,0,0,3
3162,2017-11-25,Liverpool,Chelsea,1,1,D,0,0,D,M Oliver,16,11,4,3,10,7,7,8,0,0,0,0,FY1718,draw,draw,1,0,1,0,0,1,1,25.0,27.27,Jürgen Klopp,0,0,0,0,1,0,0
3179,2017-11-29,Stoke,Liverpool,0,3,A,0,1,A,M Atkinson,10,14,1,7,8,10,5,9,1,5,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,10.0,50.0,Jürgen Klopp,0,1,0,0,0,0,3
3181,2017-02-12,Brighton,Liverpool,1,5,A,0,2,A,G Scott,6,12,2,6,8,7,2,2,1,0,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,33.33,50.0,Jürgen Klopp,0,1,0,0,0,0,4
3197,2017-10-12,Liverpool,Everton,1,1,D,1,0,H,C Pawson,23,3,3,2,8,11,12,1,1,3,0,0,FY1718,draw,Liverpool,1,0,1,0,1,0,0,13.04,66.67,Jürgen Klopp,0,0,0,0,1,0,0
3203,2017-12-13,Liverpool,West Brom,0,0,D,0,0,D,P Tierney,14,6,5,1,16,6,5,7,1,0,0,0,FY1718,draw,draw,1,0,1,0,0,1,1,35.71,16.67,Jürgen Klopp,0,0,0,0,1,0,0
3217,2017-12-17,Bournemouth,Liverpool,0,4,A,0,3,A,A Marriner,6,21,2,7,5,10,2,3,1,1,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,33.33,33.33,Jürgen Klopp,0,1,0,0,0,0,4
3220,2017-12-22,Arsenal,Liverpool,3,3,D,0,1,A,M Atkinson,11,14,4,9,9,11,7,8,1,0,0,0,FY1718,draw,Liverpool,1,0,1,0,1,0,0,36.36,64.29,Jürgen Klopp,0,0,0,0,0,1,0
3233,2017-12-26,Liverpool,Swansea,5,0,H,1,0,H,K Friend,22,7,9,4,5,8,4,2,0,1,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,40.91,57.14,Jürgen Klopp,1,0,0,0,0,0,5
3243,2017-12-30,Liverpool,Leicester,2,1,H,0,1,A,N Swarbrick,17,7,6,1,7,3,7,1,3,2,0,0,FY1718,Liverpool,Leicester,3,1,0,0,0,0,1,35.29,14.29,Jürgen Klopp,1,0,0,0,0,0,1
3250,2018-01-01,Burnley,Liverpool,1,2,A,0,0,D,R East,13,19,4,5,4,12,3,9,0,0,0,0,FY1718,Liverpool,draw,3,1,0,0,0,1,1,30.77,26.32,Jürgen Klopp,0,1,0,0,0,0,1
3268,2018-01-14,Liverpool,Man City,4,3,H,1,1,D,A Marriner,16,11,7,4,10,7,5,6,2,3,0,0,FY1718,Liverpool,draw,3,1,0,0,0,1,1,43.75,36.36,Jürgen Klopp,1,0,0,0,0,0,1
3279,2018-01-22,Swansea,Liverpool,1,0,H,1,0,H,N Swarbrick,3,21,2,4,5,9,3,9,0,2,0,0,FY1718,Swansea,Swansea,0,0,0,1,0,0,1,66.67,19.05,Jürgen Klopp,0,0,0,1,0,0,-1
3280,2018-01-30,Huddersfield,Liverpool,0,3,A,0,2,A,K Friend,5,14,1,7,8,8,1,4,0,0,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,20.0,50.0,Jürgen Klopp,0,1,0,0,0,0,3
3298,2018-04-02,Liverpool,Tottenham,2,2,D,1,0,H,J Moss,9,13,3,6,15,9,3,7,3,1,0,0,FY1718,draw,Liverpool,1,0,1,0,1,0,0,33.33,46.15,Jürgen Klopp,0,0,0,0,1,0,0
3308,2018-11-02,Southampton,Liverpool,0,2,A,0,2,A,M Atkinson,6,16,4,4,5,8,3,1,1,2,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,66.67,25.0,Jürgen Klopp,0,1,0,0,0,0,2
3314,2018-02-24,Liverpool,West Ham,4,1,H,1,0,H,S Attwell,21,7,12,4,7,7,8,2,0,2,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,57.14,57.14,Jürgen Klopp,1,0,0,0,0,0,3
3322,2018-03-03,Liverpool,Newcastle,2,0,H,1,0,H,G Scott,14,7,3,2,7,9,8,3,0,0,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,21.43,28.57,Jürgen Klopp,1,0,0,0,0,0,2
3333,2018-10-03,Man United,Liverpool,2,1,H,2,0,H,C Pawson,5,14,2,2,10,16,1,13,2,1,0,0,FY1718,Man United,Man United,0,0,0,1,0,0,1,40.0,14.29,Jürgen Klopp,0,0,0,1,0,0,-1
3342,2018-03-17,Liverpool,Watford,5,0,H,2,0,H,A Taylor,13,4,10,1,5,4,6,1,1,0,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,76.92,25.0,Jürgen Klopp,1,0,0,0,0,0,5
3345,2018-03-31,Crystal Palace,Liverpool,1,2,A,1,0,H,N Swarbrick,6,16,3,6,6,8,4,6,2,2,0,0,FY1718,Liverpool,Crystal Palace,3,1,0,0,0,0,1,50.0,37.5,Jürgen Klopp,0,1,0,0,0,0,1
3356,2018-07-04,Everton,Liverpool,0,0,D,0,0,D,M Oliver,6,10,1,3,12,7,3,2,0,0,0,0,FY1718,draw,draw,1,0,1,0,0,1,1,16.67,30.0,Jürgen Klopp,0,0,0,0,0,1,0
3367,2018-04-14,Liverpool,Bournemouth,3,0,H,1,0,H,C Kavanagh,20,6,7,1,9,9,7,5,1,1,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,35.0,16.67,Jürgen Klopp,1,0,0,0,0,0,3
3379,2018-04-21,West Brom,Liverpool,2,2,D,0,1,A,S Attwell,13,9,6,3,12,5,7,4,0,1,0,0,FY1718,draw,Liverpool,1,0,1,0,1,0,0,46.15,33.33,Jürgen Klopp,0,0,0,0,0,1,0
3387,2018-04-28,Liverpool,Stoke,0,0,D,0,0,D,A Marriner,20,5,2,1,7,14,9,2,1,2,0,0,FY1718,draw,draw,1,0,1,0,0,1,1,10.0,20.0,Jürgen Klopp,0,0,0,0,1,0,0
3402,2018-06-05,Chelsea,Liverpool,1,0,H,1,0,H,A Taylor,12,10,4,5,12,9,3,1,3,2,0,0,FY1718,Chelsea,Chelsea,0,0,0,1,0,0,1,33.33,50.0,Jürgen Klopp,0,0,0,1,0,0,-1
3413,2018-05-13,Liverpool,Brighton,4,0,H,2,0,H,K Friend,22,2,11,1,3,6,7,3,0,0,0,0,FY1718,Liverpool,Liverpool,3,1,0,0,1,0,0,50.0,50.0,Jürgen Klopp,1,0,0,0,0,0,4
3428,2018-12-08,Liverpool,West Ham,4,0,H,2,0,H,A Taylor,18,5,8,2,14,9,5,4,1,2,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,44.44,40.0,Jürgen Klopp,1,0,0,0,0,0,4
3439,2018-08-20,Crystal Palace,Liverpool,0,2,A,0,1,A,M Oliver,8,16,2,6,6,13,6,7,1,1,1,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,25.0,37.5,Jürgen Klopp,0,1,0,0,0,0,2
3443,2018-08-25,Liverpool,Brighton,1,0,H,1,0,H,C Kavanagh,22,6,8,2,8,14,8,5,1,1,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,36.36,33.33,Jürgen Klopp,1,0,0,0,0,0,1
3454,2018-01-09,Leicester,Liverpool,1,2,A,0,2,A,P Tierney,12,10,5,4,9,12,4,4,3,2,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,41.67,40.0,Jürgen Klopp,0,1,0,0,0,0,1
3465,2018-09-15,Tottenham,Liverpool,1,2,A,0,1,A,M Oliver,11,17,3,10,17,16,5,4,0,0,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,27.27,58.82,Jürgen Klopp,0,1,0,0,0,0,1
3476,2018-09-22,Liverpool,Southampton,3,0,H,3,0,H,P Tierney,12,7,4,1,7,10,5,4,0,2,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,33.33,14.29,Jürgen Klopp,1,0,0,0,0,0,3
3481,2018-09-29,Chelsea,Liverpool,1,1,D,1,0,H,A Marriner,10,13,4,6,7,9,4,4,0,2,0,0,FY1819,draw,Chelsea,1,0,1,0,0,0,1,40.0,46.15,Jürgen Klopp,0,0,0,0,0,1,0
3498,2018-07-10,Liverpool,Man City,0,0,D,0,0,D,M Atkinson,7,6,2,2,10,10,2,6,1,3,0,0,FY1819,draw,draw,1,0,1,0,0,1,1,28.57,33.33,Jürgen Klopp,0,0,0,0,1,0,0
3503,2018-10-20,Huddersfield,Liverpool,0,1,A,0,1,A,M Oliver,13,11,1,2,9,6,2,4,0,2,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,7.69,18.18,Jürgen Klopp,0,1,0,0,0,0,1
3513,2018-10-27,Liverpool,Cardiff,4,1,H,1,0,H,S Attwell,19,2,7,1,6,4,8,0,0,0,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,36.84,50.0,Jürgen Klopp,1,0,0,0,0,0,3
3520,2018-03-11,Arsenal,Liverpool,1,1,D,0,0,D,A Marriner,12,13,4,4,7,7,5,8,1,1,0,0,FY1819,draw,draw,1,0,1,0,0,1,1,33.33,30.77,Jürgen Klopp,0,0,0,0,0,1,0
3538,2018-11-11,Liverpool,Fulham,2,0,H,1,0,H,P Tierney,20,8,7,3,11,9,6,3,1,1,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,35.0,37.5,Jürgen Klopp,1,0,0,0,0,0,2
3545,2018-11-24,Watford,Liverpool,0,3,A,0,0,D,J Moss,5,10,1,7,12,13,5,5,0,0,0,1,FY1819,Liverpool,draw,3,1,0,0,0,1,1,20.0,70.0,Jürgen Klopp,0,1,0,0,0,0,3
3559,2018-02-12,Liverpool,Everton,1,0,H,0,0,D,C Kavanagh,16,9,3,3,12,7,8,1,3,2,0,0,FY1819,Liverpool,draw,3,1,0,0,0,1,1,18.75,33.33,Jürgen Klopp,1,0,0,0,0,0,1
3564,2018-05-12,Burnley,Liverpool,1,3,A,0,0,D,S Attwell,10,18,6,12,10,3,5,9,1,0,0,0,FY1819,Liverpool,draw,3,1,0,0,0,1,1,60.0,66.67,Jürgen Klopp,0,1,0,0,0,0,2
3571,2018-08-12,Bournemouth,Liverpool,0,4,A,0,1,A,L Mason,8,10,2,4,9,11,6,6,2,1,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,25.0,40.0,Jürgen Klopp,0,1,0,0,0,0,4
3588,2018-12-16,Liverpool,Man United,3,1,H,1,1,D,M Atkinson,36,6,11,2,6,14,13,2,0,2,0,0,FY1819,Liverpool,draw,3,1,0,0,0,1,1,30.56,33.33,Jürgen Klopp,1,0,0,0,0,0,2
3590,2018-12-21,Wolves,Liverpool,0,2,A,0,1,A,C Pawson,11,15,5,6,7,3,1,10,0,0,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,45.45,40.0,Jürgen Klopp,0,1,0,0,0,0,2
3605,2018-12-26,Liverpool,Newcastle,4,0,H,1,0,H,G Scott,16,6,8,2,7,9,10,2,0,0,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,50.0,33.33,Jürgen Klopp,1,0,0,0,0,0,4
3613,2018-12-29,Liverpool,Arsenal,5,1,H,4,1,H,M Oliver,15,8,10,2,8,13,5,3,1,2,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,66.67,25.0,Jürgen Klopp,1,0,0,0,0,0,4
3629,2019-03-01,Man City,Liverpool,2,1,H,1,0,H,A Taylor,9,7,4,5,12,7,2,1,4,2,0,0,FY1819,Man City,Man City,0,0,0,1,0,0,1,44.44,71.43,Jürgen Klopp,0,0,0,1,0,0,-1
3630,2019-12-01,Brighton,Liverpool,0,1,A,0,0,D,K Friend,7,10,0,3,15,5,2,7,0,0,0,0,FY1819,Liverpool,draw,3,1,0,0,0,1,1,0.0,30.0,Jürgen Klopp,0,1,0,0,0,0,1
3642,2019-01-19,Liverpool,Crystal Palace,4,3,H,0,1,A,J Moss,19,9,9,3,6,8,8,3,0,1,1,0,FY1819,Liverpool,Crystal Palace,3,1,0,0,0,0,1,47.37,33.33,Jürgen Klopp,1,0,0,0,0,0,1
3657,2019-01-30,Liverpool,Leicester,1,1,D,1,1,D,M Atkinson,10,5,3,2,13,6,7,1,1,3,0,0,FY1819,draw,draw,1,0,1,0,0,1,1,30.0,40.0,Jürgen Klopp,0,0,0,0,1,0,0
3669,2019-04-02,West Ham,Liverpool,1,1,D,1,1,D,K Friend,13,11,2,6,9,11,2,5,1,1,0,0,FY1819,draw,draw,1,0,1,0,0,1,1,15.38,54.55,Jürgen Klopp,0,0,0,0,0,1,0
3675,2019-09-02,Liverpool,Bournemouth,3,0,H,2,0,H,A Taylor,20,12,9,2,14,6,8,5,2,2,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,45.0,16.67,Jürgen Klopp,1,0,0,0,0,0,3
3688,2019-02-24,Man United,Liverpool,0,0,D,0,0,D,M Oliver,6,7,3,1,15,17,3,7,1,3,0,0,FY1819,draw,draw,1,0,1,0,0,1,1,50.0,14.29,Jürgen Klopp,0,0,0,0,0,1,0
3696,2019-02-27,Liverpool,Watford,5,0,H,2,0,H,G Scott,19,5,10,3,5,7,6,4,0,2,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,52.63,60.0,Jürgen Klopp,1,0,0,0,0,0,5
3706,2019-03-03,Everton,Liverpool,0,0,D,0,0,D,M Atkinson,7,10,3,3,12,10,3,7,1,2,0,0,FY1819,draw,draw,1,0,1,0,0,1,1,42.86,30.0,Jürgen Klopp,0,0,0,0,0,1,0
3718,2019-10-03,Liverpool,Burnley,4,2,H,2,1,H,A Marriner,23,3,5,2,4,7,7,3,2,0,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,21.74,66.67,Jürgen Klopp,1,0,0,0,0,0,2
3723,2019-03-17,Fulham,Liverpool,1,2,A,0,1,A,C Pawson,7,16,2,6,11,7,1,10,2,1,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,28.57,37.5,Jürgen Klopp,0,1,0,0,0,0,1
3732,2019-03-31,Liverpool,Tottenham,2,1,H,1,0,H,M Atkinson,14,11,3,2,5,8,10,3,0,1,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,21.43,18.18,Jürgen Klopp,1,0,0,0,0,0,1
3739,2019-05-04,Southampton,Liverpool,1,3,A,1,1,D,P Tierney,11,17,1,5,8,7,7,5,2,4,0,0,FY1819,Liverpool,draw,3,1,0,0,0,1,1,9.09,29.41,Jürgen Klopp,0,1,0,0,0,0,2
3753,2019-04-14,Liverpool,Chelsea,2,0,H,0,0,D,M Oliver,15,6,7,3,5,9,9,2,0,1,0,0,FY1819,Liverpool,draw,3,1,0,0,0,1,1,46.67,50.0,Jürgen Klopp,1,0,0,0,0,0,2
3763,2019-04-21,Cardiff,Liverpool,0,2,A,0,0,D,M Atkinson,7,17,2,6,6,5,5,10,1,1,0,0,FY1819,Liverpool,draw,3,1,0,0,0,1,1,28.57,35.29,Jürgen Klopp,0,1,0,0,0,0,2
3770,2019-04-26,Liverpool,Huddersfield,5,0,H,3,0,H,K Friend,21,5,7,1,5,14,4,4,0,0,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,33.33,20.0,Jürgen Klopp,1,0,0,0,0,0,5
3783,2019-04-05,Newcastle,Liverpool,2,3,A,1,2,A,A Marriner,14,11,7,4,10,4,2,3,1,1,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,50.0,36.36,Jürgen Klopp,0,1,0,0,0,0,1
3795,2019-12-05,Liverpool,Wolves,2,0,H,1,0,H,M Atkinson,13,7,5,2,3,11,4,1,0,2,0,0,FY1819,Liverpool,Liverpool,3,1,0,0,1,0,0,38.46,28.57,Jürgen Klopp,1,0,0,0,0,0,2
